frame,scenario_id,environment,snr_db,speed_kmph,ai_waveform,oracle_waveform,decision_correct,ACS,oracle_ACS,ACS_regret,BER,oracle_BER,BER_regret,relative_BER_regret
30,B,HighSpeedRail,10.53,172.6,OTFS,ODDM,0.0,0.158531232340286,0.17713240118916,0.0186011688488745,0.0494791666666667,0.0213541666666667,0.028125,1.31707317073171
31,B,HighSpeedRail,10.85,161.1,OTFS,ODDM,0.0,0.1140812153899,0.145688743685102,0.0316075282952016,0.155729166666667,0.0432291666666667,0.1125,2.60240963855422
32,B,HighSpeedRail,10.99,150.4,OTFS,OTFS,1.0,0.192803205894587,0.192803205894587,0.0,0.0421875,0.03125,0.0109375,0.35
33,B,HighSpeedRail,10.17,141.4,OTFS,OTFS,1.0,0.290769709257386,0.290769709257386,0.0,0.0020833333333333,0.0020833333333333,0.0,0.0
34,B,HighSpeedRail,8.95,140.0,OTFS,OTFS,1.0,0.326070959024727,0.326070959024727,0.0,0.0015625,0.0010416666666666,0.0005208333333333,0.5
35,B,HighSpeedRail,7.79,140.0,OTFS,ODDM,0.0,0.117357139052169,0.125423244557417,0.0080661055052485,0.208854166666667,0.0833333333333333,0.125520833333333,1.50625
36,B,HighSpeedRail,6.82,140.0,OTFS,OTFS,1.0,0.175201840320346,0.175201840320346,0.0,0.0739583333333333,0.0557291666666667,0.0182291666666667,0.327102803738318
37,B,HighSpeedRail,6.15,140.0,OTFS,OTFS,1.0,0.124149826809388,0.124149826809388,0.0,0.177083333333333,0.157291666666667,0.0197916666666667,0.125827814569537
38,B,HighSpeedRail,5.8,140.0,OTFS,OTFS,1.0,0.174721071636126,0.174721071636126,0.0,0.06875,0.0661458333333333,0.0026041666666666,0.0393700787401575
39,B,HighSpeedRail,5.78,147.3,OTFS,OTFS,1.0,0.125804607127513,0.125804607127513,0.0,0.18125,0.116145833333333,0.0651041666666667,0.560538116591928
40,B,HighSpeedRail,6.03,155.8,OTFS,OTFS,1.0,0.154456316377014,0.154456316377014,0.0,0.105729166666667,0.0776041666666667,0.028125,0.36241610738255
