frame,timestamp,t_sim_s,scenario_id,environment,speed_kmph,snr_db,doppler_hz,carrier_frequency_hz,bandwidth_hz,channel_profile,delay_spread_taps,num_paths,modulation,doppler_scale,detector,waveform,strategy,mode,policy,scenario_seed,payload_seed,channel_seed,noise_seed,payload_sum,chan_checksum,frequency_offset_hz,phase_offset_rad,timing_offset_samples,predicted_waveform,confidence,confidence_band,predicted_OTFS_BER,predicted_ODDM_BER,predicted_OTFS_ACS,predicted_ODDM_ACS,predicted_OTFS_throughput,predicted_ODDM_throughput,predicted_OTFS_CQI,predicted_ODDM_CQI,uncertainty_ACS_OTFS,uncertainty_ACS_ODDM,selected_waveform,previous_waveform,switched,switch_reason,ai_error,fallback_used,fallback_reason,BER,SER,PER,throughput_bps,spectral_efficiency,CQI,wall_clock_ms,detector_time_ms,latency_ms_modeled,packet_loss,recovery_rate,ACS,tp_cap_bps,se_cap,actual_BER_OTFS,actual_ACS_OTFS,actual_BER_ODDM,actual_ACS_ODDM,actual_TP_OTFS,actual_TP_ODDM,oracle_waveform,oracle_BER,oracle_ACS,ACS_regret,BER_regret,relative_BER_regret,decision_correct,error_flag,error_message,master_seed,policy_version,experiment_id,modulation_label
21,2026-08-25 16:03:28,20,A,Highway,107.2,6.57,794.623800116487,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260844,202608251,100021,988,1.30845158638384,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.078125,0.148958333333333,1,0.0,0.0,6,43.8003,34.4987,,1,0,0.190290124631171,900000.0,2,0.078125,0.190290124631171,0.0755208333333333,0.168787394439827,0,0.0,OTFS,0.0755208333333333,0.190290124631171,0.0,0.0026041666666666,0.0344827586206897,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
22,2026-08-25 16:03:31,21,A,Highway,114.9,7.62,851.700323072615,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260845,202608252,100022,952,2.51580701070144,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.123958333333333,0.233333333333333,1,0.0,0.0,5,51.6139,42.6538,,1,0,0.168574055230538,900000.0,2,0.123958333333333,0.168574055230538,0.0765625,0.172302510267531,0,0.0,ODDM,0.0765625,0.172302510267531,0.0037284550369927,0.0473958333333333,0.619047619047619,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
23,2026-08-25 16:03:35,22,A,Highway,117.7,9.08,872.455422329389,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260846,202608253,100023,958,2.66360529894389,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0119791666666667,0.0239583333333333,1,0.0,0.0,10,27.0111,20.271,,1,0,0.270426777389735,900000.0,2,0.0119791666666667,0.270426777389735,0.0125,0.244409195136645,0,0.0,OTFS,0.0119791666666667,0.270426777389735,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
24,2026-08-25 16:03:38,23,A,Highway,113.5,10.55,841.322773444228,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260847,202608254,100024,961,1.68004305438891,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0432291666666667,0.0854166666666667,1,0.0,0.0,7,59.5387,52.5341,,1,0,0.203742154630527,900000.0,2,0.0432291666666667,0.203742154630527,0.0432291666666667,0.183567072243711,0,0.0,OTFS,0.0432291666666667,0.203742154630527,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
25,2026-08-25 16:03:41,24,A,Highway,104.2,11.25,772.386193769943,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260848,202608255,100025,965,2.61523557842617,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,22.8189,15.7443,,0,1,0.986179730540268,900000.0,2,0.0,0.986179730540268,0.0,0.953216180005156,900000,898245.614035088,OTFS,0.0,0.986179730540268,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
26,2026-08-25 16:03:44,25,A,Highway,95.0,12.0,704.190867640543,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260849,202608256,100026,947,2.93984204540019,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,24.6166,17.3213,,0,1,0.985453787904977,900000.0,2,0.0,0.985453787904977,0.0,0.951667979002309,900000,898245.614035088,OTFS,0.0,0.985453787904977,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
27,2026-08-25 16:03:48,26,A,Highway,90.8,12.75,673.058218755382,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260850,202608257,100027,943,2.45463473298808,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0010416666666666,0.0020833333333333,1,0.0,0.0,15,24.7998,15.6542,,1,0,0.366732680891252,900000.0,2,0.0010416666666666,0.366732680891252,0.0015625,0.313175608126984,0,0.0,OTFS,0.0010416666666666,0.366732680891252,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
28,2026-08-25 16:03:51,27,A,Highway,93.5,13.45,693.072064467272,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260851,202608258,100028,949,2.32971290072041,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0057291666666666,0.0114583333333333,1,0.0,0.0,12,38.9374,28.6561,,1,0,0.300063953828474,900000.0,2,0.0057291666666666,0.300063953828474,0.0125,0.239195247258817,0,0.0,OTFS,0.0057291666666666,0.300063953828474,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
29,2026-08-25 16:03:54,28,A,Highway,101.3,14.05,750.889840968284,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260852,202608259,100029,988,1.93962409349556,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0328125,0.0635416666666667,1,0.0,0.0,8,51.5579,44.1764,,1,0,0.222012823812773,900000.0,2,0.0328125,0.222012823812773,0.0291666666666667,0.206801565342489,0,0.0,OTFS,0.0291666666666667,0.222012823812773,0.0,0.0036458333333333,0.125,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
30,2026-08-25 16:03:58,29,A,Highway,109.0,14.53,807.966363924413,4000000000,480000,EVA,1,9,4,2.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260853,202608260,100030,982,1.98721730126595,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0072916666666666,0.0145833333333333,1,0.0,0.0,11,55.8147,46.605,,1,0,0.278262260035973,900000.0,2,0.0072916666666666,0.278262260035973,0.0046875,0.281393067748892,0,0.0,ODDM,0.0046875,0.281393067748892,0.0031308077129189,0.0026041666666666,0.555555555555556,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
