scenario_id,strategy,BER,throughput_bps,CQI,ACS,switch_count,oracle_agreement
K,fixed_oddm,0.15901692708333337,0.0,5.958333333333333,0.16356165151995733,0,
K,fixed_otfs,0.14483506944444446,37500.0,6.125,0.21159607645858,0,
K,oracle,0.13964843750000006,37500.0,6.208333333333333,0.21205798212682456,0,
L,ai_adaptive,0.18750361689814807,150000.0,8.208333333333334,0.24722669928369564,0,0.875
L,fixed_oddm,0.3137152777777778,149707.60233918167,5.625,0.19995212690098174,0,
L,fixed_otfs,0.18750361689814807,150000.0,8.208333333333334,0.24722669928369564,0,
L,oracle,0.19206814236111103,150000.0,8.208333333333334,0.2488518154964855,0,
M,ai_adaptive,0.02109374999999999,337500.0,11.583333333333334,0.5276097344425235,0,0.9583333333333334
M,fixed_oddm,0.01790364583333333,299415.20467836264,11.291666666666666,0.47226204248980846,0,
M,fixed_otfs,0.02109374999999999,337500.0,11.583333333333334,0.5276097344425235,0,
M,oracle,0.02105034722222221,337500.0,11.625,0.5277577352186794,0,
N,ai_adaptive,0.015646701388888896,375000.0,12.291666666666666,0.5668261038413692,0,0.9583333333333334
N,fixed_oddm,0.016037326388888884,336842.105263158,11.833333333333334,0.5087687414098959,0,
N,fixed_otfs,0.015646701388888896,375000.0,12.291666666666666,0.5668261038413692,0,
N,oracle,0.015494791666666674,375000.0,12.416666666666666,0.5684794454285561,0,
O,ai_adaptive,0.07785416666666664,359929.82456140354,9.8,0.5053884422509237,2,0.76
O,fixed_oddm,0.07106249999999995,323368.4210526317,9.64,0.45843432578269444,0,
O,fixed_otfs,0.07779166666666665,360000.0,9.8,0.509852852656292,0,
O,oracle,0.0777708333333333,395929.82456140354,9.8,0.5329509261296238,0,
P,ai_adaptive,0.07277083333333335,323929.8245614035,9.44,0.4707525869965437,2,0.76
P,fixed_oddm,0.07120833333333329,251508.77192982464,9.2,0.4024040226404476,0,
P,fixed_otfs,0.07270833333333336,324000.0,9.44,0.4747450521524162,0,
P,oracle,0.07093750000000004,324000.0,9.48,0.474984164350847,0,
Q,ai_adaptive,0.10340711805555552,37500.0,6.666666666666667,0.2253002168660496,0,0.7916666666666666
Q,fixed_oddm,0.08181423611111115,0.0,6.916666666666667,0.18481212138065997,0,
Q,fixed_otfs,0.10340711805555552,37500.0,6.666666666666667,0.2253002168660496,0,
Q,oracle,0.09672309027777774,37500.0,6.958333333333333,0.22651938165716787,0,
R,ai_adaptive,0.002191091954022975,593750.0,14.083333333333334,0.7547164784387727,0,1.0
R,fixed_oddm,0.004769815613026808,518845.4420699591,13.166666666666666,0.6635943096959117,0,
R,fixed_otfs,0.002191091954022975,593750.0,14.083333333333334,0.7547164784387727,0,
R,oracle,0.002191091954022975,593750.0,14.083333333333334,0.7547164784387727,0,
