speed_kmph_rounded,doppler_hz,strategy,waveform,BER,throughput_bps,CQI,ACS
0.0,5.74471497285706,fixed_otfs,OTFS,0.0,900000.0,15.0,0.9851287744091495
0.0,5.74471497285706,oracle,OTFS,0.0,900000.0,15.0,0.9851287744091495
0.0,5.93002835907826,ai_adaptive,OTFS,0.0,900000.0,15.0,0.981736041799983
0.0,5.93002835907826,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.962690884607816
0.0,5.93002835907826,fixed_otfs,OTFS,0.0,900000.0,15.0,0.981736041799983
0.0,5.93002835907826,oracle,OTFS,0.0,900000.0,15.0,0.981736041799983
0.0,6.48596851774185,ai_adaptive,OTFS,0.0,900000.0,15.0,0.987972658239618
0.0,6.48596851774185,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.966190905792468
0.0,6.48596851774185,fixed_otfs,OTFS,0.0,900000.0,15.0,0.987972658239618
0.0,6.48596851774185,oracle,OTFS,0.0,900000.0,15.0,0.987972658239618
0.0,6.67128190396304,ai_adaptive,OTFS,0.0,900000.0,15.0,0.989334883578221
0.0,6.67128190396304,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.968097248264241
0.0,6.67128190396304,fixed_otfs,OTFS,0.0,900000.0,15.0,0.989334883578221
0.0,6.67128190396304,oracle,OTFS,0.0,900000.0,15.0,0.989334883578221
0.0,7.04190867640543,ai_adaptive,OTFS,0.0005208333333333,0.0,15.0,0.370805300389785
0.0,7.04190867640543,fixed_oddm,ODDM,0.0005208333333333,0.0,15.0,0.352192082548804
0.0,7.04190867640543,fixed_otfs,OTFS,0.0005208333333333,0.0,15.0,0.370805300389785
0.0,7.04190867640543,oracle,OTFS,0.0005208333333333,0.0,15.0,0.370805300389785
0.0,7.41253544884782,ai_adaptive,OTFS,0.0025173611111111,1200000.0,14.333333333333334,0.7532148513672686
0.0,7.41253544884782,fixed_oddm,ODDM,0.020833333333333332,1197660.8187134534,12.666666666666666,0.698331973103636
0.0,7.41253544884782,fixed_otfs,OTFS,0.0025173611111111,1200000.0,14.333333333333334,0.7532148513672686
0.0,7.41253544884782,oracle,OTFS,0.0025173611111111,1200000.0,14.333333333333334,0.7532148513672686
0.0,7.59784883506902,ai_adaptive,OTFS,0.0,900000.0,15.0,0.983523352273634
0.0,7.59784883506902,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.960662329321431
0.0,7.59784883506902,fixed_otfs,OTFS,0.0,900000.0,15.0,0.983523352273634
0.0,7.59784883506902,oracle,OTFS,0.0,900000.0,15.0,0.983523352273634
