frame,scenario_id,environment,snr_db,speed_kmph,predicted_OTFS_BER,actual_BER_OTFS,predicted_ODDM_BER,actual_BER_ODDM,predicted_OTFS_throughput,actual_TP_OTFS,predicted_ODDM_throughput,actual_TP_ODDM,predicted_OTFS_CQI,CQI_OTFS_from_trace,predicted_OTFS_ACS,actual_ACS_OTFS,predicted_ODDM_ACS,actual_ACS_ODDM
11,A,Urban,16.76,14.9,5.2360438190589394e-11,0.0182291666666667,1.03730753347302e-10,0.0234375,834261.798876723,0,771636.713226322,0.0,14.4244444444445,9,0.910620191598478,0.24432565210682,0.839256547557364,0.210162934067888
12,A,Urban,16.1,12.1,5.2360438190589594e-11,0.0,1.03730753347302e-10,0.0,834261.798876723,900000,771636.713226322,898245.614035088,14.4244444444444,15,0.910620191598478,0.979013689676581,0.839256547557364,0.956586025713417
13,A,Urban,15.38,10.0,1.4499379098689198e-11,0.0010416666666666,2.5831039516042798e-11,0.0020833333333333,844255.950923506,0,796587.980282853,0.0,14.5022222222222,15,0.935420416458171,0.358155518559951,0.862322948000425,0.308778750029991
14,A,Urban,14.62,10.0,1.4499379098689399e-11,0.0098958333333333,2.5831039516042798e-11,0.0229166666666667,844255.950923506,0,796587.980282853,0.0,14.5022222222222,10,0.935420416458171,0.260479499350868,0.862322948000425,0.224317647976432
15,A,Urban,13.9,10.0,1.4499379098689399e-11,0.0,2.5831039516042798e-11,0.0,844255.950923506,900000,796587.980282853,898245.614035088,14.5022222222222,15,0.935420416458171,0.979221004176704,0.862322948000425,0.960036351991687
16,A,Urban,12.46,10.0,0.0061324526706133,0.0005208333333333,0.0043334822059102,0.0,337410.431602104,0,457790.475865094,898245.614035088,13.1477777777778,15,0.527448940131215,0.372660150186243,0.581100923659027,0.959540787070665
17,A,Urban,10.92,10.0,0.0061324526706133,0.0046875,0.0043334822059102,0.00625,337410.431602104,0,457790.475865093,0.0,13.1477777777778,11,0.527448940131215,0.305930160961986,0.581100923659027,0.266711214119824
18,A,Urban,9.76,10.0,0.0061324526706133,0.0026041666666666,0.0043334822059102,0.0057291666666666,337410.431602104,0,457790.475865093,0.0,13.1477777777778,12,0.527448940131215,0.324240543066245,0.581100923659027,0.279826477977323
19,A,Urban,9.11,10.0,0.0061324526706133,0.0010416666666666,0.0043334822059102,0.0010416666666666,337410.431602104,0,457790.475865093,0.0,13.1477777777778,15,0.527448940131215,0.361500537563665,0.581100923659027,0.339405007045208
20,A,Urban,9.05,11.5,0.0146356717678279,0.0,0.0098890781563627,0.0,328355.46084187,900000,441721.865385091,898245.614035088,11.9611111111111,15,0.513246478085519,0.976423505838167,0.562521520584469,0.961081670199167
21,A,Highway,6.57,107.2,0.115905396534928,0.078125,0.0718286999315828,0.0755208333333333,0.0,0,0.0,0.0,5.92111111111111,6,0.191045833092901,0.190290124631171,0.183940396529006,0.168787394439827
22,A,Highway,7.62,114.9,0.035115937512543,0.123958333333333,0.0159947208320513,0.0765625,42753.0214424951,0,29909.2620114606,0.0,10.5911111111111,5,0.282693574239715,0.168574055230538,0.274929722572643,0.172302510267531
23,A,Highway,9.08,117.7,0.0351344254206609,0.0119791666666667,0.0159947208320513,0.0125,42786.3547758285,0,29909.2620114606,0.0,10.5911111111111,10,0.283173395388683,0.270426777389735,0.275059660007022,0.244409195136645
24,A,Highway,10.55,113.5,0.035115937512543,0.0432291666666667,0.0159947208320513,0.0432291666666667,42753.0214424951,0,29909.2620114606,0.0,10.5911111111111,7,0.282693574239715,0.203742154630527,0.274929722572643,0.183567072243711
25,A,Highway,11.25,104.2,0.0352042533867221,0.0,0.0162435694942628,0.0,61886.3547758285,900000,33901.4647405054,898245.614035088,10.5877777777778,15,0.291545002357323,0.986179730540268,0.276884469335508,0.953216180005156
26,A,Highway,12.0,95.0,0.0359391741671502,0.0,0.0163583193773473,0.0,52117.738791423,900000,34899.5154227666,898245.614035088,10.4666666666667,15,0.287183560066303,0.985453787904977,0.277868591745459,0.951667979002309
