snr_db_rounded,waveform,strategy,BER,throughput_bps,CQI,ACS
7,ODDM,oracle,0.0828125,0.0,6.0,0.1705335471160345
7,OTFS,ai_adaptive,0.1214592470760234,0.0,5.7368421052631575,0.17251405350505075
7,OTFS,fixed_otfs,0.1214592470760234,0.0,5.7368421052631575,0.17251405350505075
7,OTFS,oracle,0.12009293300653599,0.0,5.882352941176471,0.17370184049962747
8,ODDM,ai_adaptive,0.06074218749999993,0.0,8.125,0.20995412072911487
8,ODDM,fixed_oddm,0.08347873263888891,22456.1403508772,7.35,0.20404348916220108
8,ODDM,oracle,0.052517361111111105,0.0,9.0,0.22210103492088498
8,OTFS,ai_adaptive,0.0974500868055556,28125.0,7.03125,0.22190207736719197
8,OTFS,fixed_otfs,0.08986111111111114,22500.0,7.225,0.22298765242493399
8,OTFS,oracle,0.08909824346405233,26470.58823529412,7.147058823529412,0.22463118445704702
9,ODDM,ai_adaptive,0.028503787878787865,244976.076555024,10.727272727272727,0.38871839237385
9,ODDM,fixed_oddm,0.06536600871191386,106200.97793981874,9.095238095238095,0.28197922813898113
9,ODDM,oracle,0.00703125,449122.807017544,12.5,0.5755678886187789
9,OTFS,ai_adaptive,0.05742501313187491,57096.77419354839,9.064516129032258,0.2762406128888283
9,OTFS,fixed_otfs,0.04944118032749496,85000.0,9.5,0.3000250856630051
9,OTFS,oracle,0.051092926843869714,89250.0,9.425,0.3013321493881913
10,ODDM,ai_adaptive,0.047916666666666594,239532.16374269014,9.133333333333333,0.39191643451607805
10,ODDM,fixed_oddm,0.13686026633673903,99805.06822612089,8.12962962962963,0.27027993568983455
10,ODDM,oracle,0.0467013888888889,299415.20467836264,12.555555555555555,0.4972824250617747
10,OTFS,ai_adaptive,0.11136930199430196,23076.923076923078,8.41025641025641,0.23275692837971845
10,OTFS,fixed_otfs,0.09317451131687239,66666.66666666667,8.648148148148149,0.27242919630476614
10,OTFS,oracle,0.10247299382716045,80000.0,8.155555555555555,0.27022515490189425
11,ODDM,ai_adaptive,0.035937500000000004,224561.403508772,9.75,0.3936111847380057
11,ODDM,fixed_oddm,0.06436668070418809,61947.973381730204,9.241379310344827,0.26176400086321794
11,ODDM,oracle,0.01802083333333334,0.0,9.8,0.21978269476853002
11,OTFS,ai_adaptive,0.04299102011494252,180000.0,9.96,0.3763507537108331
11,OTFS,fixed_otfs,0.04101237366230678,186206.89655172414,10.0,0.3834314696159258
11,OTFS,oracle,0.03877102789750956,225000.0,10.5,0.42058577052967583
12,ODDM,ai_adaptive,0.007068452380952371,513283.20802005025,13.428571428571429,0.6656414954542137
12,ODDM,fixed_oddm,0.10866496257685113,145510.05352424565,9.255813953488373,0.31969296071596215
12,ODDM,oracle,0.03506944444444444,299415.20467836264,11.666666666666666,0.4840037427854633
12,OTFS,ai_adaptive,0.05548571200510851,99166.66666666667,9.944444444444445,0.31406993203158257
12,OTFS,fixed_otfs,0.04749482090350169,145813.9534883721,10.581395348837209,0.3619681286506279
12,OTFS,oracle,0.046082974137931,156750.0,10.6,0.36856339825277623
13,ODDM,ai_adaptive,0.01057291666666666,449122.807017544,12.3,0.5757240624301802
13,ODDM,fixed_oddm,0.07448773837513062,244276.37208450006,10.113636363636363,0.3911434919308409
13,ODDM,oracle,0.0,898245.614035088,15.0,0.909899191238352
13,OTFS,ai_adaptive,0.04057191303245434,210882.35294117648,11.352941176470589,0.41243154995177095
13,OTFS,fixed_otfs,0.033055569161441985,285681.8181818182,11.636363636363637,0.47179393202608266
13,OTFS,oracle,0.03382430332798715,271395.3488372093,11.55813953488372,0.46191892937051143
14,ODDM,ai_adaptive,0.009765624999999976,224561.403508772,11.25,0.42348193837549697
14,ODDM,fixed_oddm,0.08068230289152298,308771.9298245615,10.5625,0.4617794263441148
14,OTFS,ai_adaptive,0.044330164716748756,353571.4285714286,11.5,0.5281045207562743
14,OTFS,fixed_otfs,0.03948876391882183,337500.0,11.59375,0.5201358346449974
14,OTFS,oracle,0.03948876391882183,337500.0,11.59375,0.5201358346449974
15,ODDM,fixed_oddm,0.07191081976372925,297362.73823149246,11.033333333333333,0.46561997280160206
15,ODDM,oracle,0.12404513888888878,0.0,10.333333333333334,0.25235008611699633
15,OTFS,ai_adaptive,0.036136853448275844,372500.0,12.516666666666667,0.5626413866285261
15,OTFS,fixed_otfs,0.036136853448275844,372500.0,12.516666666666667,0.5626413866285261
15,OTFS,oracle,0.031574063571284505,392105.2631578947,12.68421052631579,0.5792354893503092
16,ODDM,fixed_oddm,0.03436271173623711,614589.1043397974,12.157894736842104,0.6403416847439387
16,ODDM,oracle,0.0,898245.614035088,15.0,0.9621851928197935
16,OTFS,ai_adaptive,0.014243515577737436,521052.63157894736,13.105263157894736,0.6119747348753188
16,OTFS,fixed_otfs,0.014243515577737436,521052.63157894736,13.105263157894736,0.6119747348753188
16,OTFS,oracle,0.015796674273157535,582352.9411764706,12.882352941176471,0.6413728363575869
17,ODDM,fixed_oddm,0.058956068840579696,465972.7554354326,11.782608695652174,0.5952194307082482
17,OTFS,ai_adaptive,0.023777173913043455,466956.52173913043,13.173913043478262,0.6428215047036848
17,OTFS,fixed_otfs,0.023777173913043455,466956.52173913043,13.173913043478262,0.6428215047036848
17,OTFS,oracle,0.023777173913043455,466956.52173913043,13.173913043478262,0.6428215047036848
18,ODDM,ai_adaptive,0.0,898245.614035088,15.0,0.9636534618577955
18,ODDM,fixed_oddm,0.01749005305039787,377658.76003768697,12.961538461538462,0.5581040861314633
18,ODDM,oracle,0.0010416666666666,0.0,15.0,0.344750478777409
18,OTFS,ai_adaptive,0.004535590277777758,446250.0,14.375,0.6563609212126336
18,OTFS,fixed_otfs,0.0041866987179487,481153.8461538461,14.423076923076923,0.6819047085261312
18,OTFS,oracle,0.004270833333333316,500400.0,14.48,0.6958950876545188
19,ODDM,fixed_oddm,0.0,898245.614035088,15.0,0.9617042468515827
19,OTFS,ai_adaptive,0.0,900000.0,15.0,0.9853907342808504
19,OTFS,fixed_otfs,0.0,900000.0,15.0,0.9853907342808504
19,OTFS,oracle,0.0,900000.0,15.0,0.9853907342808504
20,ODDM,fixed_oddm,0.002012950450450446,825414.8885727838,14.594594594594595,0.8644000376337673
20,OTFS,ai_adaptive,0.00042933558558558104,875675.6756756756,14.783783783783784,0.9260868315253363
20,OTFS,fixed_otfs,0.00042933558558558104,875675.6756756756,14.783783783783784,0.9260868315253363
20,OTFS,oracle,0.00042933558558558104,875675.6756756756,14.783783783783784,0.9260868315253363
21,ODDM,fixed_oddm,0.00010416666666666,718596.4912280703,15.0,0.8392343442624977
21,ODDM,oracle,0.0005208333333333,0.0,15.0,0.353675638860044
21,OTFS,ai_adaptive,0.0003125,720000.0,14.8,0.8545433479642484
21,OTFS,fixed_otfs,0.0003125,720000.0,14.8,0.8545433479642484
21,OTFS,oracle,0.0,900000.0,15.0,0.9821314306158435
22,ODDM,fixed_oddm,0.0,898245.614035088,15.0,0.9595639895953472
22,OTFS,ai_adaptive,0.0,900000.0,15.0,0.983066122887688
22,OTFS,fixed_otfs,0.0,900000.0,15.0,0.983066122887688
22,OTFS,oracle,0.0,900000.0,15.0,0.983066122887688
23,ODDM,fixed_oddm,0.0,898245.614035088,15.0,0.9591524625018238
23,OTFS,ai_adaptive,0.0,900000.0,15.0,0.9827639364982149
23,OTFS,fixed_otfs,0.0,900000.0,15.0,0.9827639364982149
23,OTFS,oracle,0.0,900000.0,15.0,0.9827639364982149
