cond_id,profile,speed_kmph,snr_db,modulation,carrier_hz,doppler_hz,num_paths,delay_spread_taps,doppler_spread_hz,nTrials,label,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
45,EPA,250,15,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.00625,0.01197916667,0.5,450000,0.9375,11.18033989,12.5,86.50514998,9.5839,0.0126808
45,EPA,250,15,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.004166666667,0.008333333333,0.5,449122.807,0.9356725146,9.128709292,13,87.38560627,63.19935,0.0692763
46,EPA,250,15,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.04270833333,0.1578125,1,0,0,23.5502851,10,13.8021372,10.1417,0.01362995
46,EPA,250,15,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.16484375,0.5135416667,1,0,0,49.35526202,6.5,6.578257503,61.17245,0.06715695
47,EPA,250,20,4,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,9.96145,0.01298995
47,EPA,250,20,4,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,63.51105,0.0692367
48,EPA,250,20,16,4e+09,926.567,7,0,925.371,2,OTFS (MRC),0.004817708333,0.01875,0.5,900000,1.875,6.25,13.5,89.03089987,8.6209,0.01176835
48,EPA,250,20,16,4e+09,926.567,7,0,925.371,2,ODDM (LMMSE),0.04505208333,0.1645833333,1,0,0,20.5102641,11.5,19.55587479,62.38905,0.06774405
49,EPA,350,-5,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.3565104167,0.584375,1,0,0,119.1184474,3,-1.497729426,10.44315,0.01396085
49,EPA,350,-5,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.3333333333,0.5567708333,1,0,0,115.2318829,3,-1.213444609,60.34955,0.0657653
50,EPA,350,-5,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.4313802083,0.875,1,0,0,127.9453592,2.5,-2.107787659,9.955,0.01322455
50,EPA,350,-5,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.420703125,0.915625,1,0,0,95.21110534,4,0.4280111777,62.5209,0.068196
51,EPA,350,0,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.2557291667,0.44375,1,0,0,100.0530112,3.5,0.09126668887,10.32375,0.01328985
51,EPA,350,0,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.23671875,0.4140625,1,0,0,96.32572391,3.5,0.4150586872,60.79285,0.0666267
52,EPA,350,0,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.3571614583,0.809375,1,0,0,101.1429283,3.5,0.008487261376,10.4187,0.013645
52,EPA,350,0,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.3765625,0.8947916667,1,0,0,85.93953813,4,1.323816973,60.3054,0.0661568
53,EPA,350,5,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.134375,0.2432291667,1,0,0,69.97216275,5.5,3.548522364,9.1884,0.0125844
53,EPA,350,5,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.1236979167,0.225,1,0,0,67.28391597,5.5,3.865457258,62.21615,0.0676701
54,EPA,350,5,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.247265625,0.6671875,1,0,0,71.24205646,5,3.128448049,11.3492,0.01464835
54,EPA,350,5,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.3305989583,0.8713541667,1,0,0,75.85554128,4.5,2.412823187,61.01285,0.0671403
55,EPA,350,10,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.04244791667,0.08177083333,1,0,0,34.54245927,9,11.62129918,9.65835,0.0127076
55,EPA,350,10,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.03854166667,0.071875,1,0,0,30.80313963,10.5,14.48549812,62.07615,0.0675743
56,EPA,350,10,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.13046875,0.4348958333,1,0,0,45.96232151,7,6.981486158,9.45195,0.0126988
56,EPA,350,10,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.2901041667,0.8182291667,1,0,0,69.28353281,5,3.203900944,65.79695,0.0716154
57,EPA,350,15,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.001822916667,0.003645833333,0.5,450000,0.9375,6.038073644,13.5,89.18071599,9.3747,0.0132384
